Month,Statistic,Type,value
2005-1,ISEQ (Base Jan 2005 = 100),ISEQ,100.00
2005-2,ISEQ (Base Jan 2005 = 100),ISEQ,97.78
2005-3,ISEQ (Base Jan 2005 = 100),ISEQ,93.31
2005-4,ISEQ (Base Jan 2005 = 100),ISEQ,90.91
2005-5,ISEQ (Base Jan 2005 = 100),ISEQ,96.90
2005-6,ISEQ (Base Jan 2005 = 100),ISEQ,101.97
2005-7,ISEQ (Base Jan 2005 = 100),ISEQ,105.55
2005-8,ISEQ (Base Jan 2005 = 100),ISEQ,104.10
2005-9,ISEQ (Base Jan 2005 = 100),ISEQ,106.62
2005-10,ISEQ (Base Jan 2005 = 100),ISEQ,102.52
2005-11,ISEQ (Base Jan 2005 = 100),ISEQ,106.96
2005-12,ISEQ (Base Jan 2005 = 100),ISEQ,114.81
2006-1,ISEQ (Base Jan 2005 = 100),ISEQ,117.90
2006-2,ISEQ (Base Jan 2005 = 100),ISEQ,123.60
2006-3,ISEQ (Base Jan 2005 = 100),ISEQ,125.75
2006-4,ISEQ (Base Jan 2005 = 100),ISEQ,123.65
2006-5,ISEQ (Base Jan 2005 = 100),ISEQ,118.58
2006-6,ISEQ (Base Jan 2005 = 100),ISEQ,117.18
2006-7,ISEQ (Base Jan 2005 = 100),ISEQ,117.04
2006-8,ISEQ (Base Jan 2005 = 100),ISEQ,125.42
2006-9,ISEQ (Base Jan 2005 = 100),ISEQ,128.21
2006-10,ISEQ (Base Jan 2005 = 100),ISEQ,134.41
2006-11,ISEQ (Base Jan 2005 = 100),ISEQ,135.55
2006-12,ISEQ (Base Jan 2005 = 100),ISEQ,146.67
2007-1,ISEQ (Base Jan 2005 = 100),ISEQ,143.51
2007-2,ISEQ (Base Jan 2005 = 100),ISEQ,146.68
2007-3,ISEQ (Base Jan 2005 = 100),ISEQ,146.16
2007-4,ISEQ (Base Jan 2005 = 100),ISEQ,147.65
2007-5,ISEQ (Base Jan 2005 = 100),ISEQ,153.64
2007-6,ISEQ (Base Jan 2005 = 100),ISEQ,145.09
2007-7,ISEQ (Base Jan 2005 = 100),ISEQ,133.50
2007-8,ISEQ (Base Jan 2005 = 100),ISEQ,130.97
2007-9,ISEQ (Base Jan 2005 = 100),ISEQ,122.91
2007-10,ISEQ (Base Jan 2005 = 100),ISEQ,123.34
2007-11,ISEQ (Base Jan 2005 = 100),ISEQ,112.36
2007-12,ISEQ (Base Jan 2005 = 100),ISEQ,108.11
2008-1,ISEQ (Base Jan 2005 = 100),ISEQ,103.90
2008-2,ISEQ (Base Jan 2005 = 100),ISEQ,100.01
2008-3,ISEQ (Base Jan 2005 = 100),ISEQ,96.30
2008-4,ISEQ (Base Jan 2005 = 100),ISEQ,98.82
2008-5,ISEQ (Base Jan 2005 = 100),ISEQ,95.19
2008-6,ISEQ (Base Jan 2005 = 100),ISEQ,81.22
